Retirement,Debut Age (yrs),No of innings,cummulative runs,number of fiftees
34.11232877,20.83287671,191,5799,68
36.19452055,27.97534247,137,3049,43
33.70136986,21.18082192,291,8949,90
38.66027397,23.42465753,265,8322,90
38.03287671,19.8109589,173,1496,6
35.84931507,25.23561644,78,1289,23
29.61917808,22.37534247,62,483,10
37.70684932,30.58082192,112,1616,22
36.94520548,24.53150685,145,805,1
34.1260274,25.83287671,115,2157,34
35.0739726,23.90410959,190,4823,53
29.56164384,21.32328767,57,760,21
41.19726027,23.62191781,193,5488,64
35.40547945,22.34520548,151,4070,55
30.43561644,22.56438356,111,1936,29
35.89589041,21.6630137,215,6114,69
33.55890411,22.35616438,205,5016,68
33.70958904,21.6739726,154,2868,36
32.51506849,18.37260274,92,1095,24
39.10410959,18.52054795,126,2057,24
35.88767123,22.25479452,177,5266,67
36.51232877,19.3260274,189,5553,66
32.98356164,24.2739726,90,1103,20
36.11506849,22.17260274,182,4709,53
35.19726027,19.77534247,184,3327,35
37.66849315,24.53972603,131,4039,55
37.18082192,22.34520548,184,5587,59
34.18356164,24.24931507,186,4727,59
35.30410959,20.87123288,206,3816,40
37.18082192,22.34520548,184,5587,59
33.25205479,21.21643836,212,5303,62
31.48219178,23.27945205,131,2816,35
34.38356164,23.51232877,198,5267,55
31.68493151,22.84657534,79,947,16
33.37534247,26.93424658,62,442,4
34.60821918,27.52054795,115,2015,30
34.69863014,21.55068493,94,1399,24
37.95068493,20.96986301,287,9830,103
32.56712329,18.88493151,124,2571,37
31.35890411,22.37260274,61,595,13
31.24931507,24.25753425,93,1130,22
33.40273973,19.58356164,183,4987,62
35.28493151,25.98630137,99,2117,35
34.27123288,20.56712329,186,4824,60
34.36438356,23.03835616,180,4910,55
37.23013699,22.05205479,225,6026,73
34.99178082,18.64657534,147,1564,10
39.44383562,22.24383562,213,6478,67
30.98356164,21.84383562,62,498,14
35.35616438,22.09315068,127,530,3
