total innings,current age,debut age,innings,cummalative runs,number of fiftees,innings of last 3 years
191,28.72876712,20.83287671,130,5658,42,37
33,24.15890411,23.15890411,16,505,4,0
137,32.11506849,27.97534247,68,3159,25,49
28,21.22739726,19.61917808,12,344,3,12
24,26.20547945,21.78356164,14,399,3,9
291,29.00273973,21.18082192,181,8033,60,67
22,24.75616438,23.16164384,15,462,4,15
94,31.32054795,25.49589041,51,350,0,20
265,31.45753425,23.42465753,157,6917,54,41
32,28.70958904,25.89863014,16,243,1,11
173,34.3890411,19.8109589,118,1551,3,19
78,32.95616438,25.23561644,43,1858,13,27
62,25.87945205,22.37534247,27,730,4,18
112,35.77260274,30.58082192,79,2467,15,27
36,28.90684932,20.82191781,17,291,2,11
41,29.16986301,22.92054795,19,412,3,19
30,26.32328767,24.39178082,16,250,0,16
145,33.16986301,24.53150685,89,857,1,25
115,30.64109589,25.83287671,52,1795,14,34
190,28.94246575,23.90410959,80,3078,22,38
61,30.95890411,25.51232877,33,353,0,16
57,24.3890411,21.32328767,30,1454,12,21
24,24.72876712,23.70958904,11,353,2,0
193,37.14794521,23.62191781,116,5084,42,27
22,22.45205479,22.2630137,10,328,2,0
38,31.35068493,28.7260274,26,447,2,22
151,31.31780822,22.34520548,91,4171,35,27
111,27.25205479,22.56438356,54,1700,10,40
215,29.30136986,21.6630137,104,4775,38,35
45,25.6109589,22.47123288,22,620,6,13
205,30.30958904,22.35616438,132,5462,49,41
63,25.47671233,21.41643836,26,217,0,21
154,27.00547945,21.6739726,85,3048,23,55
92,28.16986301,18.37260274,49,1737,14,24
126,33.91232877,18.52054795,85,2224,11,10
177,28.90684932,22.25479452,85,3170,27,25
40,21.14246575,19.1260274,22,534,4,22
30,30.00273973,20.95068493,19,271,1,9
189,29.36712329,19.3260274,116,5414,42,23
26,25.83835616,24.67671233,18,512,4,18
90,31.15068493,24.2739726,53,2117,15,10
43,32.66575342,28.77534247,25,413,1,17
22,41.35068493,26.86027397,14,222,0,0
182,33.29589041,22.17260274,119,5049,37,41
184,24.74520548,19.77534247,80,2289,15,44
50,28.79452055,23.41369863,24,641,5,23
30,31.11506849,27.43561644,17,326,1,17
131,34.50410959,24.53972603,91,4710,38,37
39,26.74246575,23.67671233,26,1124,8,22
184,32.35890411,22.34520548,87,4659,32,42
186,29.18356164,24.24931507,90,4051,34,40
206,27.69041096,20.87123288,103,2782,21,39
184,32.35890411,22.34520548,87,4659,32,42
212,29.16986301,21.21643836,130,5192,44,52
36,31.73972603,25.72328767,24,819,6,20
131,29.09041096,23.27945205,86,3715,24,31
198,28.73424658,23.51232877,90,3889,29,50
22,23.9260274,19.25205479,13,294,2,13
79,27.80547945,22.84657534,32,1394,8,22
72,27.63287671,19.56164384,49,433,1,17
62,31.76986301,26.93424658,37,709,2,13
115,31.97260274,27.52054795,64,2431,15,54
94,29.35068493,21.55068493,60,1766,14,19
57,33.23835616,23.81369863,39,887,5,10
287,31.95068493,20.96986301,178,9190,68,61
43,27.47671233,22.45479452,21,849,7,19
53,34.73424658,31.72054795,32,250,1,22
124,24.66849315,18.88493151,59,1938,15,30
61,27.45753425,22.37260274,40,1475,9,25
48,25.0630137,18.64383562,30,926,7,19
30,26.38356164,24.20273973,17,563,3,17
93,27.04383562,24.25753425,40,1502,11,40
183,29.24109589,19.58356164,112,4245,36,37
67,27.26027397,22.29589041,37,229,0,19
99,33.90136986,25.98630137,69,2825,23,46
186,28.17534247,20.56712329,86,2814,21,24
39,28.40273973,26.66849315,20,251,0,0
31,24.56164384,23.66027397,14,482,4,0
38,31.54246575,21.67945205,27,315,1,8
67,25.61369863,19.35068493,28,213,0,22
180,31.24383562,23.03835616,125,6345,37,38
225,32.12054795,22.05205479,126,4799,36,44
147,31.45753425,18.64657534,103,1960,6,28
213,34.18082192,22.24383562,133,6398,45,21
62,27.01917808,21.84383562,40,1262,8,24
127,30.06027397,22.09315068,78,758,2,27
